code_str3,name,gdp_2018_wb,exp_MTC_usd,imp_MTC_usd,tot_MTC_usd,exp_MTC_per_gdp_pct,imp_MTC_per_gdp_pct,tot_MTC_per_gdp_pct,exp_com_tot_usd,imp_com_tot_usd,tot_com_usd,exp_com_tot_usd_per_gdp_pct,imp_com_tot_usd_per_gdp_pct,tot_com_tot_usd_per_gdp_pct
328,Guyana,4787637005.53638,5275915.984650844,404292914.33584666,406930872.3281721,0.055,4.222,4.277,435320.4934523255,37406335.90120666,37623996.14793282,0.005,0.391,0.396
090,Solomon Islands,1615478421.45974,44214917.16837431,27450605.44604859,49558064.030235745,1.368,0.85,2.218,5891474.222365152,2517459.585582927,5463196.696765503,0.182,0.078,0.26
780,Trinidad and Tobago,24322359037.409,606769005.1559665,16778029.01503147,320162531.5930147,1.247,0.034,1.2810000000000001,60230575.987456374,2156600.453917275,32271888.447645463,0.124,0.004,0.128
662,Saint Lucia,2057074074.07407,45252681.73398516,3031978.810163849,25658319.67715643,1.1,0.074,1.1740000000000002,3056585.2408089754,279335.99546221166,1807628.6158666993,0.074,0.007,0.081
508,Mozambique,14845400592.6712,18378849.484947383,128700766.56641619,137890191.30888987,0.062,0.433,0.495,2333868.32855833,15899067.238091689,17066001.402370855,0.008,0.054,0.062
702,Singapore,376869585632.115,551865195.5776534,1386597588.2759511,1662530186.0647779,0.073,0.184,0.257,57266781.09740602,164354025.08127204,192987415.62997505,0.008,0.022,0.03
096,Brunei Darussalam,13567164444.9707,60702698.710254826,21582039.529104613,51933388.88423203,0.224,0.08,0.304,5788593.7058602255,2138951.8308841605,5033248.683814273,0.021,0.008,0.029
682,Saudi Arabia,846583785179.856,3128232042.9889784,204890695.19181275,1769006716.686302,0.185,0.012,0.197,398106941.32030946,28047151.18452873,227100621.84468347,0.024,0.002,0.026000000000000002
784,United Arab Emirates,427049432157.931,1444654764.784367,254891579.12594238,977218961.5181259,0.169,0.03,0.199,177616039.69013217,35964630.789510734,124772650.63457683,0.021,0.004,0.025
694,Sierra Leone,4085114542.06831,15336473.130988833,678449.6354391824,8346686.200933599,0.188,0.008,0.196,1960202.536016369,76979.08589181624,1057080.3539000007,0.024,0.001,0.025
764,Thailand,506754212432.991,494409448.1856678,1371269170.3222277,1618473894.4150617,0.049,0.135,0.184,59048121.40362977,163096402.6941998,192620463.3960147,0.006,0.016,0.022
512,Oman,91505851755.5267,306383072.0802672,30258803.154667046,183450339.19480065,0.167,0.017,0.184,36055494.247978635,3291379.291524838,21319126.415514156,0.02,0.002,0.022
768,Togo,7029217931.75029,15792373.8200806,10148210.66158861,18044397.57162891,0.112,0.072,0.184,1385586.4204999686,1239943.2801596192,1932736.4904096033,0.01,0.009,0.019
462,Maldives,5300949822.99805,713056.0943808417,31922300.891857114,32278828.939047534,0.007,0.301,0.308,45388.197227896526,2048179.461453951,2070873.5600678993,0.0,0.019,0.019
704,Viet Nam,310106472642.968,502718489.2695974,531829154.47674537,783188399.1115441,0.081,0.086,0.16699999999999998,52753864.28455209,58566494.593786255,84943426.7360623,0.009,0.009,0.018
270,Gambia,1670671340.37966,6390.705611521723,7881689.566665731,7884884.919471492,0.0,0.236,0.236,720.2613981325059,556084.8098972413,556444.9405963075,0.0,0.017,0.017
031,Azerbaijan,47112479289.4186,155065463.5181265,9851727.171562728,87384458.93062598,0.165,0.01,0.17500000000000002,14847168.00887235,1192882.0928531718,8616466.097289346,0.016,0.001,0.017
324,Guinea,11857030366.4598,25201545.016071483,6852808.810274629,19453581.318310373,0.106,0.029,0.135,3049207.9773488366,880681.6327601066,2405285.6214345247,0.013,0.004,0.017
634,Qatar,183334953818.681,496961625.0314788,13434635.403822014,261915447.91956142,0.136,0.004,0.14,61935301.916741036,1275624.9395180368,32243275.897888556,0.017,0.0,0.017
458,Malaysia,358788833524.945,1051131550.9484699,74390420.38665788,599956195.8608928,0.146,0.01,0.156,99222246.72959088,11390032.845718427,61001156.21051387,0.014,0.002,0.016
112,Belarus,60031163987.191,90764805.37864673,116672452.73939383,162054855.4287172,0.076,0.097,0.173,9655999.152154924,8539402.241331771,13367401.817409232,0.008,0.007,0.015
152,Chile,295402646018.151,241757474.36409262,311957868.9353169,432836606.1173632,0.041,0.053,0.094,39535621.8314951,44610613.9658096,64378424.88155715,0.007,0.008,0.015
554,New Zealand,211886686924.483,249831139.9282084,146114371.79545033,271029941.7595545,0.059,0.034,0.093,42060433.58509474,19111305.849674463,40141522.64222184,0.01,0.005,0.015
414,Kuwait,138202309918.726,375746688.98714036,51519498.828681365,239392843.32225156,0.136,0.019,0.155,35819969.2186429,4298477.084382762,22208461.69370421,0.013,0.002,0.015
388,Jamaica,15730791525.65,7135481.2240926875,24920550.30707125,28488290.919117592,0.023,0.079,0.10200000000000001,1211191.0569007033,3115438.4335628194,3721033.962013171,0.004,0.01,0.014
218,Ecuador,107562008000.0,137516050.64447707,107574330.00902086,176332355.3312594,0.064,0.05,0.114,16929270.460313816,13722890.90362651,22187526.13378342,0.008,0.006,0.014
104,Myanmar,67144726167.9294,45431835.0780075,163462917.1012807,186178834.64028445,0.034,0.122,0.156,4871729.9155722,13855483.640642041,16291348.598428141,0.004,0.01,0.014
804,Ukraine,130891086689.522,291892033.85043806,117327905.44280861,263273922.36802763,0.112,0.045,0.157,29192355.081019003,7108631.755258387,21704809.29576789,0.011,0.003,0.013999999999999999
470,Malta,15298004130.4975,16400055.947184345,28212416.26979636,36412444.24338853,0.054,0.092,0.146,1672611.8650484039,2637302.957670232,3473608.8901944337,0.005,0.009,0.013999999999999999
504,Morocco,127341141871.205,113631313.93107775,203196066.81668314,260011723.78222203,0.045,0.08,0.125,13043883.599186998,22508976.33711066,29030918.13670416,0.005,0.009,0.013999999999999999
604,Peru,222597030191.041,187569688.87100014,232556571.92318287,326341416.35868293,0.042,0.052,0.094,25478626.908476826,29956851.273119457,42696164.72735787,0.006,0.007,0.013000000000000001
686,Senegal,23116701539.5646,6382588.361079654,59990782.36485042,63182076.54539024,0.014,0.13,0.14400000000000002,580802.7035334782,5772727.650259163,6063129.002025902,0.001,0.012,0.013000000000000001
188,Costa Rica,62420164964.6987,39839395.877452746,80441599.31395583,100361297.25268221,0.032,0.064,0.096,6692593.843533895,10301599.353660027,13647896.275426975,0.005,0.008,0.013000000000000001
068,Bolivia (Plurinational State of),40287647930.5355,36058765.85825145,26677723.612130526,44707106.54125625,0.045,0.033,0.078,4538592.704231168,4467940.602211772,6737236.954327356,0.006,0.006,0.012
242,Fiji,5581425890.96651,4133722.025121432,6178085.467876867,8244946.480437583,0.037,0.055,0.092,677714.4487340666,680952.1098337227,1019809.3342007559,0.006,0.006,0.012
304,Greenland,3055791340.7025,3569233.270699928,1859560.192015873,3644176.827365837,0.058,0.03,0.088,470086.9811562278,236521.78327279247,471565.2738509064,0.008,0.004,0.012
788,Tunisia,42686509835.5287,41446459.41898767,76196866.57415369,96920096.28364752,0.049,0.089,0.138,3515535.1254557637,6712638.508976281,8470406.071704162,0.004,0.008,0.012
434,Libya,76686048499.3527,335761586.4066029,39049020.46870155,206929813.672003,0.219,0.025,0.244,14755330.280543195,2436312.5893157306,9813977.729587328,0.01,0.002,0.012
012,Algeria,174910891124.491,338095517.46822834,125968849.21758892,295016607.9517031,0.097,0.036,0.133,29434342.222078644,13932130.213527817,28649301.32456714,0.008,0.004,0.012
204,Benin,14262408079.7005,861475.3120676136,29163003.86741105,29593741.523444857,0.003,0.102,0.105,50294.00020672968,3384893.0023518368,3410040.0024552015,0.0,0.012,0.012
792,Türkiye,778476714087.962,368223500.81374437,1124801269.0288308,1308913019.435703,0.024,0.072,0.096,41023622.779532745,133616548.7496433,154128360.13940966,0.003,0.009,0.012
450,Madagascar,13760033282.6071,1219039.301492836,22037759.87080009,22647279.521546505,0.004,0.08,0.084,148406.80461946013,2624096.9405115936,2698300.342821324,0.001,0.01,0.011
740,Suriname,3996198760.32389,2203692.1899190918,27962248.341510337,29064094.436469883,0.028,0.35,0.378,112106.14832018479,814046.0096738649,870099.0838339573,0.001,0.01,0.011
600,Paraguay,40225448651.3062,34288939.462496795,26601133.842821274,43745603.57406967,0.043,0.033,0.076,4439972.325968762,3260769.7034567273,5480755.866441108,0.006,0.004,0.01
360,Indonesia,1042271532953.36,1439637147.3409998,639432454.0848906,1359251027.7553906,0.069,0.031,0.1,148123499.61747998,72212599.9494685,146274349.75820848,0.007,0.003,0.01
440,Lithuania,53751411409.4437,74999711.53475915,45665102.8549494,83164958.62232897,0.07,0.042,0.11200000000000002,7914806.41710352,3547117.143380788,7504520.351932548,0.007,0.003,0.01
340,Honduras,24067750465.9361,12202561.129320584,30450317.47829245,36551598.042952746,0.025,0.063,0.088,1332762.8425710741,3493367.5600693757,4159748.9813549127,0.003,0.007,0.01
084,Belize,2315000000.0,3464804.0334009696,2068619.3090418777,3801021.3257423625,0.075,0.045,0.12,281026.04077189195,188471.39832002416,328984.41870597017,0.006,0.004,0.01
417,Kyrgyzstan,8271106196.04253,1487853.2365961492,24923118.56534497,25667045.183643047,0.009,0.151,0.16,116715.28375281705,1535305.8723557629,1593663.5142321715,0.001,0.009,0.009999999999999998
643,Russian Federation,1657328764645.93,3061916461.568076,319198834.7617431,1850157065.5457811,0.092,0.01,0.102,289205376.0894771,26339273.366810087,170941961.41154864,0.009,0.001,0.009999999999999998
818,Egypt,262588632526.73,196859359.49590915,255109107.2901232,353538787.0380778,0.037,0.049,0.086,20931683.689509563,26867077.309161898,37332919.15391668,0.004,0.005,0.009000000000000001
132,Cabo Verde,2205099509.15921,261192.71844385134,3203347.685220501,3333944.0444424264,0.006,0.073,0.079,26118.701305486353,356965.01908355666,370024.36973629985,0.001,0.008,0.009000000000000001
410,"Korea, Republic of",1724845615629.26,932232220.7711788,1667649882.3956935,2133765992.781283,0.027,0.048,0.075,101341539.07949966,211722133.75083178,262392903.2905816,0.003,0.006,0.009000000000000001
608,Philippines,346841896890.489,218416378.30948937,468973477.3998188,578181666.5545635,0.031,0.068,0.099,20250166.748836152,39884128.50625877,50009211.88067685,0.003,0.006,0.009000000000000001
528,Netherlands (Kingdom of the),914043438179.591,770322395.4270847,854320687.0190704,1239481884.7326126,0.042,0.047,0.089,64410650.717113905,89591498.81149434,121796824.17005129,0.004,0.005,0.009000000000000001
196,Cyprus,25597301190.678,14464512.420619672,47156466.38332426,54388722.59363409,0.028,0.092,0.12,730270.6918498446,4027883.533300877,4393018.8792258,0.001,0.008,0.009000000000000001
076,Brazil,1916933708404.16,1422388978.3795066,1274830398.0813508,1986024887.271104,0.037,0.033,0.07,208307266.5866404,157060582.13977304,261214215.43309325,0.005,0.004,0.009000000000000001
398,Kazakhstan,179339977517.062,309755013.46517724,153154719.00075448,308032225.7333431,0.086,0.043,0.129,25982647.650464658,8715884.866542146,21707208.691774473,0.007,0.002,0.009000000000000001
024,Angola,77792944471.9494,74507279.39733407,43450550.33929608,80704190.03796312,0.048,0.028,0.076,8391484.941451052,6667016.1011199355,10862758.57184546,0.005,0.004,0.009000000000000001
170,Colombia,334198218100.716,449073280.1592591,7595402.062172876,232132042.14180243,0.067,0.001,0.068,61406002.81788387,1107545.3274667994,31810546.736408737,0.009,0.0,0.009
364,Iran (Islamic Republic of),327900695065.853,402067513.72377527,83476444.24002798,284510201.1019156,0.061,0.013,0.074,45881000.917725034,8496460.601579607,31436961.060442124,0.007,0.001,0.008
729,Sudan,32333780383.2924,10102355.56012717,44678451.98615796,49729629.766221546,0.016,0.069,0.085,884811.7791298876,4347343.103557626,4789748.993122569,0.001,0.007,0.008
044,Bahamas,12653600000.0,8269082.287763008,12022371.117248606,16156912.26113011,0.033,0.048,0.081,693031.9485499024,1204078.2171734027,1550594.191448354,0.003,0.005,0.008
320,Guatemala,73328369925.8478,43722919.16368207,52304351.352998115,74165810.93483916,0.03,0.036,0.066,5321062.690961402,6238507.180116452,8899038.525597153,0.004,0.004,0.008
626,Timor-Leste,1563887900.0,44696.957006561155,5362899.072065362,5385247.550568642,0.001,0.171,0.17200000000000001,3060.6600978476863,241922.862947374,243453.19299629785,0.0,0.008,0.008
300,Greece,212049447242.107,143805054.83442044,193033244.05340707,264935771.4706173,0.034,0.046,0.08,13514071.990250418,20014056.56876053,26771092.563885737,0.003,0.005,0.008
428,Latvia,34429023435.0205,40872735.95006586,13283203.023921166,33719570.998954095,0.059,0.019,0.078,4776328.05238418,773623.4491461352,3161787.4753382253,0.007,0.001,0.008
036,Australia,1428266513154.48,968076246.8289865,597054864.8114694,1081092988.2259626,0.034,0.021,0.05500000000000001,143666990.78734648,85054446.21134037,156887941.6050136,0.005,0.003,0.008
558,Nicaragua,13025266513.3167,5570938.347108598,12237926.550393896,15023395.723948196,0.021,0.047,0.068,665942.9509676996,1263568.6123528595,1596540.0878367093,0.003,0.005,0.008
056,Belgium,543299066998.892,572296964.7025591,553795360.4710022,839943842.8222818,0.053,0.051,0.104,48657099.548590444,44675200.32337551,69003750.09767073,0.004,0.004,0.008
384,Côte d'Ivoire,58522477744.7313,16162861.505275873,87218538.99991518,95299969.75255312,0.014,0.075,0.089,1749695.2558185437,8730052.091067497,9604899.718976768,0.001,0.007,0.008
480,Mauritius,14735695930.9727,2648518.2636319124,15216411.13814659,16540670.269962547,0.009,0.052,0.061,365219.1961183568,2102284.2520344052,2284893.8500935836,0.001,0.007,0.008
566,Nigeria,421739210176.152,289734831.0395029,246181588.9946542,391049004.51440567,0.034,0.029,0.063,31207251.139216274,24071289.79430597,39674915.3639141,0.004,0.003,0.007
690,Seychelles,1587813245.28225,770551.4159975053,1028236.8561385672,1413512.5641373198,0.024,0.032,0.056,106580.32728345874,124500.76037824947,177790.92401997885,0.003,0.004,0.007
418,Lao People's Dem. Rep.,18141651381.3884,8696436.475952301,25162798.18205459,29511016.420030743,0.024,0.069,0.093,600073.2534260155,1682532.1398115025,1982568.7665245102,0.002,0.005,0.007
620,Portugal,242313116577.963,70895925.98585416,206549304.41868252,241997267.4116096,0.015,0.043,0.057999999999999996,7586789.278865068,21930957.236548487,25724351.87598102,0.002,0.005,0.007
724,Spain,1421702715218.01,422496807.6644654,1320759662.8620303,1532008066.694263,0.015,0.046,0.061,48553743.32532792,147039709.43517852,171316581.09784248,0.002,0.005,0.007
174,Comoros,1188797449.96036,18578.412196129753,1282120.6284047046,1291409.8345027694,0.001,0.054,0.055,2325.7862982692436,153241.48575284905,154404.37890198367,0.0,0.006,0.006
578,Norway,439788625883.8,568855137.2992058,85660764.5447326,370088333.19433546,0.065,0.01,0.075,43204850.39566485,6353581.864743587,27956007.06257601,0.005,0.001,0.006
116,Cambodia,24571753581.7841,4493247.580880937,43126149.98526286,45372773.77570333,0.009,0.088,0.09699999999999999,396898.6598669663,2264734.9904467016,2463184.320380185,0.001,0.005,0.006
516,Namibia,13682019171.6627,8709622.877090951,9850298.454658257,14205109.893203732,0.032,0.036,0.068,438018.7321172608,1027570.0841982664,1246579.4502568967,0.002,0.004,0.006
762,Tajikistan,7765000282.29397,1899263.5656761453,8938365.762457728,9887997.545295801,0.012,0.058,0.07,249949.3153602517,682975.6222709455,807950.2799510714,0.002,0.004,0.006
288,Ghana,67298913752.0241,43700815.02564043,21832121.609008994,43682529.12182921,0.032,0.016,0.048,5184517.976338924,2531182.556068796,5123441.544238258,0.004,0.002,0.006
478,Mauritania,7473550557.07378,3829479.710851508,5277368.815274701,7192108.670700455,0.026,0.035,0.061,461466.07313803874,500347.22903515695,731080.2656041763,0.003,0.003,0.006
214,Dominican Republic,85555390385.9812,7142170.833826587,75294618.75598653,78865704.17289981,0.004,0.044,0.048,914903.4374478671,8572389.489760278,9029841.208484212,0.001,0.005,0.006
591,Panama,67294169234.6291,20917201.21013573,35887061.13546188,46345661.740529746,0.016,0.027,0.043,2801459.5697315456,5469789.111611046,6870518.896476818,0.002,0.004,0.006
222,El Salvador,26020850000.0,5614671.932318916,22031752.509292617,24839088.475452077,0.011,0.042,0.053000000000000005,643814.7064687671,2709588.0821965346,3031495.4354309184,0.001,0.005,0.006
032,Argentina,524819898586.906,323581039.0922629,150184248.27040792,311974767.8165394,0.031,0.014,0.045,39756594.55068157,18834065.832945533,38712363.10828632,0.004,0.002,0.006
352,Iceland,26260850582.0687,4410087.875196737,27162810.99033006,29367854.92792843,0.008,0.052,0.06,403975.1000372537,2731424.9806875307,2933412.5307061574,0.001,0.005,0.006
356,India,2702929639861.5,662900604.648913,1675345836.122434,2006796138.4468904,0.012,0.031,0.043,81271666.04572219,204855841.86786115,245491674.89072224,0.002,0.004,0.006
807,North Macedonia,12683068033.1043,3781806.194805388,11560641.136906432,13451544.234309126,0.015,0.046,0.061,383430.0118622673,944515.7740625354,1136230.7799936691,0.002,0.004,0.006
233,Estonia,30624720196.2285,22589096.832273595,14036563.635997895,25331112.052134693,0.037,0.023,0.06,2504588.2975980774,994542.7046352976,2246836.8534343364,0.004,0.002,0.006
144,Sri Lanka,94493871351.4217,12538477.744049411,74203768.08179073,80473006.95381543,0.007,0.039,0.046,1828054.3955669962,8087486.80613498,9001514.003918478,0.001,0.004,0.005
